stop_name,routes,latitude,longitude,cluster
Διασταύρωση Σπηλιωτακόπουλου,['501'],38.170588,21.678335,40
Νεκροταφείο Βραχνεΐκων,['501'],38.168515,21.676456,40
Είσοδος Βραχνέικα,['501'],38.167426,21.675448,40
Οικονομοπούλου,['501'],38.165944,21.673457,40
Άγ. Βασίλειος Βραχνεΐκων,['501'],38.164009,21.67095,10
Κέντρο Βραχνέικα,['501'],38.162812,21.668524,10
Μπρούζος,['501'],38.161767,21.664687,10
Δρεσθενά,['501'],38.161361,21.6627,10
Παλιό Τέρμα,['501'],38.161406,21.659956,89
Παλιό Φυλάκιο ΟΣΕ,['501'],38.16136,21.657478,89
Καρτινός,['501'],38.160516,21.654961,89
Κάρλου,['501'],38.158615,21.650815,89
Άγ. Χαράλαμπος Τσουκαλέικα,['501'],38.156988,21.647286,33
Δημοτικό Σχολείο Τσουκαλέικα,['501'],38.156263,21.645524,33
Τσουκαλέικα,['501'],38.155317,21.64053,33
ΤΣ Τσουκαλέικα,"['501', '503']",38.154188,21.631332,33
Παιδότοπος,['501'],38.187179,21.687522,4
Ροΐτικα,['501'],38.185995,21.682031,5
Πλατεία Ροΐτικα,['501'],38.185916,21.680248,5
Εξέδρα Ροΐτικα,['501'],38.183622,21.678133,5
Στροφή,['501'],38.181427,21.677495,86
Ψησταριά Τσατσά,['501'],38.178844,21.677633,86
Παλιό Δημοτικό,['501'],38.17677,21.677387,86
Οδός Τσατσά,['501'],38.175189,21.676865,86
Μαγαζιά Μονοδένδρι,['501'],38.173729,21.676189,86
Σπηλιωτακοπούλου,['501'],38.171727,21.675132,40
Βίλλα Γάλλου,['501'],38.169536,21.673623,40
Ι.Ν. Ευαγγελίστριας,['501'],38.166318,21.668429,10
Γραμμές ΟΣΕ,['501'],38.163856,21.669481,10
Ανεμόμυλος,['503'],38.155349,21.635485,33
Διασταύρωση Οδός Σκέντζου,['503'],38.16703,21.67504,40
Μουρτά,['503'],38.197325,21.696956,35
Διασταύρωση Οδός Λεύκας,['503'],38.210421,21.715134,7
ΑΒΕΞ,['503'],38.223887,21.721211,72
Ακτή Δυμαίων & Μαξίμου,"['503', '118']",38.234167,21.72506,59
Γ' ΔΟΥ Πατρών,"['503', '118']",38.236763,21.725566,59
Ι.Ν. Άγιος Ανδρέας,"['503', '118']",38.241344,21.726508,61
Πλατεία Πίνδου,"['503', '118']",38.245237,21.730416,19
Αγ. Διονύσιος - Επίκεντρο,"['503', '609', '804']",38.253374,21.738361,30
FORD - Λαζανάς,['502'],38.202737,21.705996,67
Παλιουργιά,['502'],38.199619,21.708558,67
Εργατικές Κατοικίες 1,['502'],38.19347,21.712946,23
Εργατικές Κατοικίες 2,['502'],38.192746,21.713402,23
Στροφή Κάτω Οβρυά,['502'],38.188431,21.714237,65
Συνεργείο,['502'],38.188148,21.713478,65
Μάρβιν,['502'],38.187962,21.710509,65
Νεκροταφείο,['502'],38.187898,21.707939,64
Ιπποκράτους,['502'],38.187724,21.705706,64
ΤΣ Πλατεία Μιντιλογλίου,"['502', '503']",38.18396,21.701506,71
Αγίου Κωνσταντίνου,['502'],38.182391,21.69008,4
Σχολείο,['502'],38.183818,21.696,71
Μιντιλόγλι,['502'],38.186266,21.701211,71
Καποδιστρίου,"['503', '804']",38.187955,21.710512,65
Χατζηλιακόν,"['503', '804']",38.188137,21.713481,65
Ford Λαζανάς,['503'],38.202718,21.706003,67
Αγίου Γεωργίου,['503'],38.186309,21.701425,71
Κουρδής,['503'],38.185158,21.698712,71
Καστάνη 2,['503'],38.185251,21.694346,71
Καστάνη 1,['503'],38.187844,21.691391,4
Αρέθα (προς Πανεπιστήμιο),"['601', '603', '604', '606', '608']",38.266091,21.756736,46
Αρέθα,"['601', '603', '604', '606', '608']",38.266908,21.757542,48
Intracom,"['601', '603', '604', '606', '608']",38.269487,21.75826,48
Κοτρώνι,"['601', '603', '604', '606', '608']",38.270948,21.758728,88
Μηχανική Καλλιέργεια 1,"['601', '603', '604', '606', '608']",38.273072,21.76005,88
Μηχανική Καλλιέργεια 2,"['601', '603', '604', '606', '608']",38.275107,21.762553,88
Κορυδαλλέως,"['601', '603', '604', '606', '608']",38.276865,21.764608,28
Ψησταριά,"['601', '603', '604', '606', '608']",38.27789,21.765688,28
Βησσαρίωνος,"['601', '603', '604', '606', '608']",38.279123,21.767109,28
Προάστιο,"['601', '603', '604', '606', '608']",38.280428,21.768768,28
Μανδρέκα,"['601', '603', '604', '608', '901']",38.282293,21.771383,29
Γήπεδο Τόφαλος,"['601', '603', '604', '608', '901']",38.284483,21.772796,70
